COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,SARA schedule,Listed on,Range,Taxonomic group,Under consideration for
Sockeye Salmon,Widgeon (River-Type) population,Threatened,11/1/2017,Oncorhynchus nerka,Sockeye Salmon,Widgeon (River-Type) population,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition
Spinynose Sculpin,,Data Deficient,4/1/1997,Asemichthys taylori,Spinynose Sculpin,,No Status,No schedule,,Pacific Ocean,Fishes (marine),
Steelhead Trout,Chilcotin River population,Endangered,11/4/2020,Oncorhynchus mykiss,Steelhead Trout,Chilcotin River population,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),
Steelhead Trout,Thompson River population,Endangered,11/4/2020,Oncorhynchus mykiss,Steelhead Trout,Thompson River population,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),
Tope,,Special Concern,5/5/2021,Galeorhinus galeus,Tope,,Special Concern,Schedule 1,3/5/2009,"British Columbia, Pacific Ocean",Fishes (marine),
White Shark,Pacific population,Data Deficient,4/29/2006,Carcharodon carcharias,White Shark,Pacific population,No Status,No schedule,,Pacific Ocean,Fishes (marine),
Wolf-eel,,Not at Risk,5/1/2003,Anarrhichthys ocellatus,,,No Status,No schedule,,Pacific Ocean,Fishes (marine),
Y-Prickleback,,Not at Risk,4/1/1991,Allolumpenus hypochromus,,,No Status,No schedule,,Pacific Ocean,Fishes (marine),
Yelloweye Rockfish,Pacific Ocean inside waters population,Threatened,11/4/2020,Sebastes ruberrimus,Yelloweye Rockfish,Pacific Ocean inside waters population,Special Concern,Schedule 1,6/23/2011,"British Columbia, Pacific Ocean",Fishes (marine),
Yelloweye Rockfish,Pacific Ocean outside waters population,Threatened,11/4/2020,Sebastes ruberrimus,Yelloweye Rockfish,Pacific Ocean outside waters population,Special Concern,Schedule 1,6/23/2011,"British Columbia, Pacific Ocean",Fishes (marine),
Yellowmouth Rockfish,,Threatened,4/25/2010,Sebastes reedi,Yellowmouth Rockfish,,No Status,No schedule,,Pacific Ocean,Fishes (marine),
